Date : 2023-03-05 19:53:59
Directory : /home/o/Documents/dev/validient/validient-ui-vue
Total : 114 files,  11040 codes, 535 comments, 756 blanks, all 12331 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         71 |      8,171 |        462 |        440 |      9,073 |
| YAML               |          1 |      1,252 |          0 |        190 |      1,442 |
| TypeScript React   |         19 |        855 |         60 |         55 |        970 |
| TypeScript         |          9 |        448 |          7 |         38 |        493 |
| JSON               |          3 |        143 |          0 |          2 |        145 |
| Markdown           |          3 |         56 |          0 |         23 |         79 |
| CSS                |          1 |         37 |          3 |          2 |         42 |
| JavaScript         |          2 |         34 |          1 |          3 |         38 |
| JSON with Comments |          1 |         21 |          2 |          1 |         24 |
| HTML               |          1 |         14 |          0 |          1 |         15 |
| XML                |          2 |          9 |          0 |          0 |          9 |
| Properties         |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        114 |     11,040 |        535 |        756 |     12,331 |
| . (Files)                                                                                                        |         11 |      1,486 |          4 |        208 |      1,698 |
| .github                                                                                                          |          2 |         45 |          0 |         15 |         60 |
| .github/ISSUE_TEMPLATE                                                                                           |          2 |         45 |          0 |         15 |         60 |
| public                                                                                                           |          1 |          8 |          0 |          0 |          8 |
| src                                                                                                              |        100 |      9,501 |        531 |        533 |     10,565 |
| src (Files)                                                                                                      |          4 |         89 |          5 |          8 |        102 |
| src/api                                                                                                          |          1 |          5 |          0 |          2 |          7 |
| src/assets                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src/components                                                                                                   |         55 |      7,480 |        449 |        401 |      8,330 |
| src/components (Files)                                                                                           |          3 |        188 |          5 |         12 |        205 |
| src/components/admin                                                                                             |         29 |      4,240 |        361 |        197 |      4,798 |
| src/components/admin (Files)                                                                                     |          8 |        533 |         34 |         32 |        599 |
| src/components/admin/appointments                                                                                |          3 |        815 |         26 |         63 |        904 |
| src/components/admin/cases                                                                                       |          8 |      1,022 |        228 |         32 |      1,282 |
| src/components/admin/lawyers                                                                                     |          3 |        606 |         43 |         27 |        676 |
| src/components/admin/profile                                                                                     |          1 |        112 |         11 |          3 |        126 |
| src/components/admin/roles                                                                                       |          1 |         50 |          0 |          4 |         54 |
| src/components/admin/schedules                                                                                   |          2 |        446 |          1 |         16 |        463 |
| src/components/admin/users                                                                                       |          3 |        656 |         18 |         20 |        694 |
| src/components/client                                                                                            |         13 |      1,461 |         23 |         93 |      1,577 |
| src/components/client (Files)                                                                                    |          4 |        392 |          0 |         18 |        410 |
| src/components/client/appointments                                                                               |          2 |        543 |         22 |         38 |        603 |
| src/components/client/calendar                                                                                   |          1 |         12 |          0 |          4 |         16 |
| src/components/client/profile                                                                                    |          2 |         24 |          0 |          8 |         32 |
| src/components/client/schedules                                                                                  |          4 |        490 |          1 |         25 |        516 |
| src/components/lawyer                                                                                            |         10 |      1,591 |         60 |         99 |      1,750 |
| src/components/lawyer (Files)                                                                                    |          3 |        254 |          0 |         17 |        271 |
| src/components/lawyer/appointments                                                                               |          3 |        701 |         23 |         56 |        780 |
| src/components/lawyer/cases                                                                                      |          1 |         95 |          8 |          7 |        110 |
| src/components/lawyer/profile                                                                                    |          1 |         95 |         28 |          3 |        126 |
| src/components/lawyer/schedules                                                                                  |          2 |        446 |          1 |         16 |        463 |
| src/constants                                                                                                    |          2 |          6 |          0 |          2 |          8 |
| src/data                                                                                                         |          2 |        125 |          0 |          9 |        134 |
| src/layouts                                                                                                      |          7 |         78 |          0 |         13 |         91 |
| src/plugins                                                                                                      |          2 |         71 |         12 |          8 |         91 |
| src/router                                                                                                       |          5 |        509 |         45 |         20 |        574 |
| src/store                                                                                                        |          1 |        153 |          1 |          7 |        161 |
| src/typings                                                                                                      |          3 |        184 |          4 |         17 |        205 |
| src/utils                                                                                                        |          9 |        192 |          2 |         20 |        214 |
| src/views                                                                                                        |          8 |        608 |         13 |         26 |        647 |
| src/views (Files)                                                                                                |          7 |        586 |         13 |         25 |        624 |
| src/views/admin                                                                                                  |          1 |         22 |          0 |          1 |         23 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/o/Documents/dev/validient/validient-ui-vue/.env                                                            | Properties         |          0 |          0 |          1 |          1 |
| /home/o/Documents/dev/validient/validient-ui-vue/.github/ISSUE_TEMPLATE/bug_report.md                            | Markdown           |         30 |          0 |          9 |         39 |
| /home/o/Documents/dev/validient/validient-ui-vue/.github/ISSUE_TEMPLATE/feature_request.md                       | Markdown           |         15 |          0 |          6 |         21 |
| /home/o/Documents/dev/validient/validient-ui-vue/README.md                                                       | Markdown           |         11 |          0 |          8 |         19 |
| /home/o/Documents/dev/validient/validient-ui-vue/index.html                                                      | HTML               |         14 |          0 |          1 |         15 |
| /home/o/Documents/dev/validient/validient-ui-vue/package.json                                                    | JSON               |         44 |          0 |          0 |         44 |
| /home/o/Documents/dev/validient/validient-ui-vue/pnpm-lock.yaml                                                  | YAML               |      1,252 |          0 |        190 |      1,442 |
| /home/o/Documents/dev/validient/validient-ui-vue/postcss.config.cjs                                              | JavaScript         |          6 |          0 |          1 |          7 |
| /home/o/Documents/dev/validient/validient-ui-vue/public/vite.svg                                                 | XML                |          8 |          0 |          0 |          8 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/App.vue                                                     | vue                |          5 |          0 |          0 |          5 |
